9730.0 - 568       -1.2169 - 568
9730.0 - 569       -1.2156 - 569
9730.0 - 570       -1.1686 - 570
9730.0 - 571       -1.9428 - 571
9730.0 - 572       -1.2151 - 572
9730.0 - 573       -1.0705 - 573
9730.0 - 574       -1.1645 - 574
9730.0 - 575       -1.071 - 575
9730.0 - 576       -1.0205 - 576
9730.0 - 577       -1.1677 - 577
9730.0 - 578       -1.1626 - 578
9730.0 - 579       -1.0719 - 579
9730.0 - 580       -1.0688 - 580
9730.0 - 581       -1.0672 - 581
9730.0 - 582       -1.0716 - 582
9730.0 - 583       0.0 - 583
9730.0 - 584       -1.166 - 584
9730.0 - 585       0.0 - 585
9730.0 - 586       -1.2136 - 586
9730.0 - 587       -1.3119 - 587
9730.0 - 588       -1.9428 - 588
9730.0 - 589       -1.1162 - 589
9730.0 - 590       -1.1675 - 590
9730.0 - 591       0.0 - 591
9730.0 - 592       -1.2154 - 592
9730.0 - 593       -1.9428 - 593
9730.0 - 594       0.0 - 594
9730.0 - 595       -1.9428 - 595
9730.0 - 596       -1.8945 - 596
9730.0 - 597       -1.1198 - 597
9730.0 - 598       -1.071 - 598
9730.0 - 599       -1.9428 - 599
9730.0 - 600       -1.2646 - 600
9730.0 - 601       0.0 - 601
9730.0 - 602       0.0 - 602
9730.0 - 603       0.0 - 603
9730.0 - 604       -1.1171 - 604
9730.0 - 605       -1.071 - 605
9730.0 - 606       0.0 - 606
9730.0 - 607       -1.2153 - 607
9730.0 - 608       -1.9428 - 608
9730.0 - 609       -1.1663 - 609
9730.0 - 610       -1.0229 - 610
9730.0 - 611       -1.0225 - 611
9730.0 - 612       -1.1668 - 612
9730.0 - 613       -1.1193 - 613
9730.0 - 614       -1.0196 - 614
9730.0 - 615       0.0 - 615
9730.0 - 616       -1.1677 - 616
9730.0 - 617       -1.9428 - 617
9730.0 - 618       0.0 - 618
9730.0 - 619       -1.9428 - 619
9730.0 - 620       -1.1702 - 620
9730.0 - 621       -1.1677 - 621
9730.0 - 622       -1.0716 - 622
9730.0 - 623       -1.8942 - 623
9730.0 - 624       -1.0176 - 624
9730.0 - 625       -1.0214 - 625
9730.0 - 626       0.0 - 626
9730.0 - 627       -1.0211 - 627
9730.0 - 628       -1.0708 - 628
9730.0 - 629       -1.2139 - 629
9730.0 - 630       -1.0694 - 630
9730.0 - 631       -1.0212 - 631
9730.0 - 632       -1.1197 - 632
9730.0 - 633       -1.0197 - 633
9730.0 - 634       -1.0677 - 634
9730.0 - 635       0.0 - 635
9730.0 - 636       0.0 - 636
9730.0 - 637       -1.119 - 637
9730.0 - 638       -1.9428 - 638
9730.0 - 639       -1.1671 - 639
9730.0 - 640       -1.9428 - 640
9730.0 - 641       -1.9428 - 641
9730.0 - 642       0.0 - 642
9730.0 - 643       -1.2649 - 643
9730.0 - 644       -1.8943 - 644
9730.0 - 645       -1.0675 - 645
9730.0 - 646       -1.2649 - 646
9730.0 - 647       -1.1206 - 647
9730.0 - 648       -1.9428 - 648
9730.0 - 649       -1.1185 - 649
9730.0 - 650       -1.0683 - 650
9730.0 - 651       -1.117 - 651
9730.0 - 652       -1.1195 - 652
9730.0 - 653       -1.1682 - 653
9730.0 - 654       0.0 - 654
9730.0 - 655       -1.071 - 655
9730.0 - 656       0.0 - 656
9730.0 - 657       -1.1672 - 657
9730.0 - 658       0.0 - 658
9730.0 - 659       -1.9428 - 659
9730.0 - 660       0.0 - 660
9730.0 - 661       -1.0676 - 661
9730.0 - 662       0.0 - 662
9730.0 - 663       -1.2163 - 663
9730.0 - 664       0.0 - 664
9730.0 - 665       -1.0706 - 665
9730.0 - 666       -1.068 - 666
9730.0 - 667       -1.1683 - 667
9730.0 - 668       -1.9428 - 668
9730.0 - 669       -1.9428 - 669
9730.0 - 670       -1.1178 - 670
9730.0 - 671       -1.1645 - 671
9730.0 - 672       -1.071 - 672
9730.0 - 673       -1.1185 - 673
9730.0 - 674       -1.0678 - 674
9730.0 - 675       -1.0687 - 675
9730.0 - 676       -1.9428 - 676
9730.0 - 677       0.0 - 677
9730.0 - 678       -1.2171 - 678
9730.0 - 679       -1.3129 - 679
9730.0 - 680       0.0 - 680
9730.0 - 681       -1.0184 - 681
9730.0 - 682       -1.019 - 682
9730.0 - 683       -1.1668 - 683
9730.0 - 684       -1.1638 - 684
9730.0 - 685       0.0 - 685
9730.0 - 686       -1.071 - 686
9730.0 - 687       -1.0211 - 687
9730.0 - 688       -1.071 - 688
9730.0 - 689       -1.8455 - 689
9730.0 - 690       -1.0195 - 690
9730.0 - 691       -1.1671 - 691
9730.0 - 692       -1.9428 - 692
9730.0 - 693       -1.3122 - 693
9730.0 - 694       -1.0693 - 694
9730.0 - 695       -1.0689 - 695
9730.0 - 696       -1.9428 - 696
9730.0 - 697       -1.0219 - 697
9730.0 - 698       -1.164 - 698
9730.0 - 699       -1.071 - 699
9730.0 - 700       -1.1168 - 700
9730.0 - 701       -1.1669 - 701
9730.0 - 702       -1.0668 - 702
9730.0 - 703       -1.2136 - 703
9730.0 - 704       -1.2136 - 704
9730.0 - 705       -1.0181 - 705
9730.0 - 706       -1.9428 - 706
9730.0 - 707       -1.1663 - 707
9730.0 - 708       -1.1163 - 708
9730.0 - 709       -1.0695 - 709
9730.0 - 710       -1.1691 - 710
9730.0 - 711       -1.1691 - 711
9730.0 - 712       -1.1681 - 712
9730.0 - 713       -1.068 - 713
9730.0 - 714       -1.2139 - 714
9730.0 - 715       -1.1672 - 715
9730.0 - 716       -1.0705 - 716
9730.0 - 717       -1.1671 - 717
9730.0 - 718       0.0 - 718
9730.0 - 719       -1.0192 - 719
9730.0 - 720       -1.9428 - 720
9730.0 - 721       -1.0229 - 721
9730.0 - 722       0.0 - 722
9730.0 - 723       0.0 - 723
9730.0 - 724       -1.0183 - 724
9730.0 - 725       3390.0 - 725
9730.0 - 726       -1.2627 - 726
9730.0 - 727       -1.1682 - 727
9730.0 - 728       0.0 - 728
9730.0 - 729       -1.263 - 729
9730.0 - 730       -1.0228 - 730
9730.0 - 731       0.0 - 731
9730.0 - 732       1451.0 - 732
9730.0 - 733       -1.071 - 733
9730.0 - 734       -1.1668 - 734
9730.0 - 735       0.0 - 735
9730.0 - 736       -1.0673 - 736
9730.0 - 737       -1.1671 - 737
9730.0 - 738       -1.1674 - 738
9730.0 - 739       -1.1193 - 739
9730.0 - 740       -1.3125 - 740
