130 - 788       12 - 788
130 - 789       70 - 789
130 - 790       24 - 790
130 - 791       37 - 791
130 - 792       12 - 792
130 - 793       -1 - 793
130 - 794       12 - 794
130 - 795       49 - 795
130 - 796       48 - 796
130 - 797       33 - 797
130 - 798       -1 - 798
130 - 799       -1 - 799
130 - 800       37 - 800
130 - 801       36 - 801
130 - 802       69 - 802
130 - 803       0 - 803
130 - 804       48 - 804
130 - 805       37 - 805
130 - 806       -1 - 806
130 - 807       -1 - 807
130 - 808       12 - 808
130 - 809       60 - 809
130 - 810       60 - 810
130 - 811       49 - 811
130 - 812       57 - 812
130 - 813       45 - 813
130 - 814       49 - 814
130 - 815       33 - 815
130 - 816       -1 - 816
130 - 817       48 - 817
130 - 818       -1 - 818
130 - 819       37 - 819
130 - 820       36 - 820
130 - 821       49 - 821
130 - 822       -1 - 822
130 - 823       -1 - 823
130 - 824       45 - 824
130 - 825       24 - 825
130 - 826       12 - 826
130 - 827       0 - 827
130 - 828       45 - 828
130 - 829       12 - 829
130 - 830       36 - 830
130 - 831       12 - 831
130 - 832       48 - 832
130 - 833       36 - 833
130 - 834       61 - 834
130 - 835       69 - 835
130 - 836       45 - 836
130 - 837       36 - 837
130 - 838       -1 - 838
130 - 839       0 - 839
130 - 840       24 - 840
130 - 841       45 - 841
130 - 842       36 - 842
130 - 843       -1 - 843
130 - 844       48 - 844
130 - 845       0 - 845
130 - 846       -1 - 846
130 - 847       0 - 847
130 - 848       33 - 848
130 - 849       -1 - 849
130 - 850       45 - 850
130 - 851       36 - 851
130 - 852       49 - 852
130 - 853       33 - 853
130 - 854       12 - 854
130 - 855       36 - 855
130 - 856       57 - 856
130 - 857       24 - 857
130 - 858       -1 - 858
130 - 859       -1 - 859
130 - 860       36 - 860
130 - 861       36 - 861
130 - 862       33 - 862
130 - 863       -1 - 863
130 - 864       36 - 864
130 - 865       -1 - 865
130 - 866       49 - 866
130 - 867       45 - 867
130 - 868       36 - 868
130 - 869       -1 - 869
130 - 870       -1 - 870
130 - 871       36 - 871
130 - 872       -1 - 872
130 - 873       -1 - 873
130 - 874       12 - 874
130 - 875       12 - 875
130 - 876       0 - 876
130 - 877       57 - 877
130 - 878       57 - 878
130 - 879       36 - 879
130 - 880       36 - 880
130 - 881       0 - 881
130 - 882       48 - 882
130 - 883       37 - 883
130 - 884       36 - 884
130 - 885       -1 - 885
130 - 886       36 - 886
130 - 887       45 - 887
130 - 888       24 - 888
130 - 889       33 - 889
130 - 890       24 - 890
130 - 891       36 - 891
130 - 892       24 - 892
130 - 893       37 - 893
130 - 894       48 - 894
130 - 895       48 - 895
130 - 896       36 - 896
130 - 897       12 - 897
130 - 898       33 - 898
130 - 899       60 - 899
130 - 900       0 - 900
130 - 901       36 - 901
130 - 902       60 - 902
130 - 903       61 - 903
130 - 904       36 - 904
130 - 905       12 - 905
130 - 906       12 - 906
130 - 907       -1 - 907
130 - 908       12 - 908
130 - 909       69 - 909
130 - 910       36 - 910
130 - 911       -1 - 911
130 - 912       -1 - 912
130 - 913       -1 - 913
130 - 914       33 - 914
130 - 915       -1 - 915
130 - 916       36 - 916
130 - 917       -1 - 917
130 - 918       12 - 918
130 - 919       -1 - 919
130 - 920       12 - 920
130 - 921       24 - 921
130 - 922       -1 - 922
130 - 923       33 - 923
130 - 924       -1 - 924
130 - 925       0 - 925
130 - 926       12 - 926
130 - 927       36 - 927
130 - 928       -1 - 928
130 - 929       33 - 929
130 - 930       24 - 930
130 - 931       36 - 931
130 - 932       -1 - 932
130 - 933       36 - 933
130 - 934       45 - 934
130 - 935       -1 - 935
130 - 936       48 - 936
130 - 937       36 - 937
130 - 938       69 - 938
130 - 939       36 - 939
130 - 940       -1 - 940
130 - 941       -1 - 941
130 - 942       37 - 942
130 - 943       36 - 943
130 - 944       49 - 944
130 - 945       12 - 945
130 - 946       0 - 946
130 - 947       45 - 947
130 - 948       24 - 948
130 - 949       -1 - 949
130 - 950       24 - 950
130 - 951       33 - 951
130 - 952       73 - 952
130 - 953       48 - 953
130 - 954       60 - 954
130 - 955       48 - 955
130 - 956       45 - 956
130 - 957       -1 - 957
130 - 958       48 - 958
130 - 959       -1 - 959
130 - 960       36 - 960
130 - 961       12 - 961
130 - 962       -1 - 962
130 - 963       36 - 963
130 - 964       36 - 964
130 - 965       33 - 965
130 - 966       12 - 966
130 - 967       36 - 967
130 - 968       45 - 968
130 - 969       -1 - 969
130 - 970       12 - 970
130 - 971       69 - 971
130 - 972       49 - 972
130 - 973       0 - 973
130 - 974       36 - 974
130 - 975       45 - 975
130 - 976       36 - 976
130 - 977       36 - 977
130 - 978       0 - 978
130 - 979       12 - 979
130 - 980       -1 - 980
130 - 981       61 - 981
130 - 982       -1 - 982
130 - 983       -1 - 983
130 - 984       0 - 984
130 - 985       0 - 985
130 - 986       45 - 986
130 - 987       12 - 987
130 - 988       0 - 988
130 - 989       45 - 989
130 - 990       33 - 990
130 - 991       33 - 991
130 - 992       24 - 992
130 - 993       36 - 993
130 - 994       72 - 994
130 - 995       36 - 995
130 - 996       36 - 996
130 - 997       48 - 997
130 - 998       36 - 998
130 - 999       48 - 999
130 - 1000       36 - 1000
